Ad set ID;Age;Gender;reach;impressions;frequency;Currency;cpm;cpc;ctr;amount spent (EUR);purchases;Reporting starts;Reporting ends
23854308274520129;45-54;male;7322;15970;2.181162587;EUR;18.33967337;0.9921316;2.02785292;366.0965598;14;2023-01-01;2023-04-30
23853260889700129;45-54;male;9242;11323;1.225242382;EUR;25.29360875;1.361238552;2.051716832;358.0057383;7;2023-01-01;2023-04-30
23853470597090129;45-54;female;5277;6977;1.322164948;EUR;40.98232908;1.348705256;2.87123036;357.4068919;6;2023-01-01;2023-04-30
23853662536380129;55-64;female;3379;5832;1.725852273;EUR;48.94784188;1.82056004;2.359396432;356.8297673;10;2023-01-01;2023-04-30
23853785313860129;35-44;male;11597;14533;1.253173289;EUR;19.61496102;1.827309648;1.048111856;356.3253819;6;2023-01-01;2023-04-30
23853451509910129;35-44;male;7467;11598;1.553139061;EUR;24.55385213;1.429546968;1.80451128;355.9571944;7;2023-01-01;2023-04-30
23852032978810261;55-64;male;8257;12518;1.516132158;EUR;22.6658884;1.40188072;1.784253576;354.6758217;7;2023-01-01;2023-04-30
23853240668460129;25-34;male;95745;120278;1.256239503;EUR;2.358315376;0.23543692;1.104105144;354.568;14;2023-01-01;2023-04-30
23853840483240129;55-64;female;1613;4018;2.49156746;EUR;70.45669918;1.4746;3.981684256;353.904;4;2023-01-01;2023-04-30
23853840483240129;45-54;female;1958;4725;2.412581699;EUR;59.42160514;1.248911032;4.117846256;350.944;6;2023-01-01;2023-04-30
23853451509910129;45-54;male;5520;8812;1.596376812;EUR;31.8316733;1.221692968;2.694507488;350.6258814;10;2023-01-01;2023-04-30
23853687780470129;25-34;male;9088;15808;1.73943662;EUR;17.72465458;1.824162368;1.29554656;350.2391746;9;2023-01-01;2023-04-30
23854146013910129;18-24;male;11194;11986;1.070754717;EUR;23.27451868;1.717728272;1.382992928;348.6988389;7;2023-01-01;2023-04-30
23853855950630129;45-54;male;8755;11026;1.25941155;EUR;25.2317609;1.486193848;1.532322424;347.7693604;12;2023-01-01;2023-04-30
23854101086880129;35-44;female;5376;10274;1.911160714;EUR;27.06781905;2.094168672;1.600872072;347.632;10;2023-01-01;2023-04-30
23853451509910129;25-34;female;7314;10542;1.441369503;EUR;26.33920262;1.917523056;1.414586024;347.0716728;4;2023-01-01;2023-04-30
23853252753800129;35-44;female;12801;16764;1.30960565;EUR;16.43287227;1.243143824;1.733237888;344.3508384;6;2023-01-01;2023-04-30
23853785313860129;35-44;female;7398;10178;1.37575692;EUR;26.94313302;2.255246584;1.182111136;342.7974813;3;2023-01-01;2023-04-30
23853840483240129;35-44;female;2560;5005;1.955;EUR;53.62148338;1.747166664;2.672634272;335.456;4;2023-01-01;2023-04-30
23853741619790129;55-64;male;4109;8042;1.957165109;EUR;33.30441703;1.641058824;2.26024672;334.776;5;2023-01-01;2023-04-30
23853451509910129;45-54;female;4316;7095;1.643929564;EUR;37.73954138;1.67355996;2.354267672;334.7119924;10;2023-01-01;2023-04-30
23853470597090129;35-44;male;8888;10634;1.196489649;EUR;25.06890115;1.424106424;1.630933576;333.240903;10;2023-01-01;2023-04-30
23853855992050129;45-54;female;5146;6934;1.347481343;EUR;38.22880694;1.851000392;2.446059768;331.3290697;10;2023-01-01;2023-04-30
23853687780470129;55-64;male;3661;7434;2.030594406;EUR;35.51347635;1.473175096;2.582866984;329.9912223;8;2023-01-01;2023-04-30
23853182203280129;35-44;female;8640;10379;1.201296296;EUR;25.37764902;1.590577864;1.553876984;329.2496184;3;2023-01-01;2023-04-30
23854349407120129;35-44;male;5376;9004;1.67485119;EUR;29.22150155;2.108256408;1.492669928;328.888;8;2023-01-01;2023-04-30
23853882046140129;45-54;male;7578;9311;1.228779561;EUR;28.03264886;1.763632432;1.670246584;326.272;3;2023-01-01;2023-04-30
23854100757070129;18-24;female;7821;9597;1.227086743;EUR;27.08320192;2.271958672;1.240413472;324.8900902;6;2023-01-01;2023-04-30
23853701734420129;18-24;female;8678;13025;1.500829646;EUR;19.90197162;2.265902096;0.967999512;324.024;8;2023-01-01;2023-04-30
